trad,simp,skt,n_chars,n_syl,n_aligned,char_syl_ratio,phon_score,align,pos,label
甎,甎,iṣṭakā,1,3,0,0.333,0.0,length_mismatch,noun,calque
磚,砖,iṣṭakā,1,3,0,0.333,0.0,length_mismatch,noun,calque
甕,甕,kumbha,1,2,1,0.5,1.0,off_by_one,noun,calque
不思議界,不思议界,acintyadhātu,4,5,4,0.8,0.5,off_by_one,phrase,calque
甖,甖,kumbha,1,2,1,0.5,1.0,off_by_one,noun,calque
甘,甘,madhura,1,3,0,0.333,0.0,length_mismatch,adjective,calque
產,产,udaya,1,3,0,0.333,0.0,length_mismatch,noun,calque
産,産,udaya,1,3,0,0.333,0.0,length_mismatch,noun,calque
無憂花,无忧花,aśoka,3,3,3,1.0,0.0,exact,noun,calque
甫,甫,pūrvānta,1,3,0,0.333,0.0,length_mismatch,verb,calque
不可思議,不可思议,acintya,4,3,3,1.333,0.333,off_by_one,phrase,calque
由,由,yasmāt,1,2,1,0.5,1.0,off_by_one,preposition,calque
甲,甲,kavaca,1,3,0,0.333,0.0,length_mismatch,noun,calque
恆河沙,恒河沙,gaṅgānadīvāluka,3,7,0,0.429,0.0,length_mismatch,phrase,calque
申,申,utkṣipta,1,3,0,0.333,0.0,length_mismatch,verb,calque
恆河沙數,恒河沙数,gaṅgā-vālikā-sama,4,7,0,0.571,0.0,length_mismatch,phrase,calque
畜,畜,dhāraṇa,1,3,0,0.333,0.0,length_mismatch,verb,calque
白月,白月,śuklapakṣa,2,4,0,0.5,0.0,length_mismatch,noun,calque
畝,亩,kṣetra,1,2,1,0.5,0.0,off_by_one,noun,calque
畞,畞,kṣetra,1,2,1,0.5,0.0,off_by_one,noun,calque
畢,毕,niyata,1,3,0,0.333,0.0,length_mismatch,verb,calque
略,略,samāsatas,1,4,0,0.25,0.0,length_mismatch,noun,calque
黑月,黑月,kṛṣṇapakṣa,2,4,0,0.5,0.0,length_mismatch,noun,calque
畧,畧,samāsatas,1,4,0,0.25,0.0,length_mismatch,noun,calque
畫,画,citra,1,2,1,0.5,0.0,off_by_one,noun,calque
住心,住心,cittasthita,2,4,0,0.5,0.0,length_mismatch,phrase,calque
異,异,viśeṣaḥ,1,3,0,0.333,0.0,length_mismatch,noun,calque
當,当,bhaviṣyati,1,4,0,0.25,0.0,length_mismatch,verb,calque
疆,疆,sīmā,1,2,1,0.5,0.0,off_by_one,noun,calque
疊,叠,paṭa,1,2,1,0.5,1.0,off_by_one,noun,calque
疏,疏,vṛtti,1,2,1,0.5,0.0,off_by_one,noun,calque
疎,疎,vṛtti,1,2,1,0.5,0.0,off_by_one,noun,calque
